weight,tag,lon,lat,x,y,col,row,loss,gain,esta,loss_rg,gain_rg,name_ID
0.033883386,1,104.50625,12.6928,104.50625,12.6928,1809,10594,None,None,0,None,2013,60
0.033883386,1,105.396,12.6898,105.396,12.6898,5368,10606,41,42,42,2010,2014,61
0.033883386,1,105.39725,12.66555,105.39725,12.66555,5373,10703,40,42,42,2010,2014,62
0.033883386,1,104.52275,12.64755,104.52275,12.64755,1875,10775,42,45,45,2012,2015,63
0.033883386,1,105.43625,12.6393,105.43625,12.6393,5529,10808,40,41,41,2010,2013,64
0.033883386,1,105.40775,12.6293,105.40775,12.6293,5415,10848,None,41,41,None,2014,65
0.033883386,1,105.42375,12.62455,105.42375,12.62455,5479,10867,39,40,40,2009,2013,66
0.033883386,1,105.52525,12.62305,105.52525,12.62305,5885,10873,40,42,42,2010,2014,67
0.033883386,1,105.4235,12.61755,105.4235,12.61755,5478,10895,39,40,40,2009,2013,68
0.033883386,1,105.47825,12.61305,105.47825,12.61305,5697,10913,35,41,41,2005,2013,69
0.033883386,1,104.151,12.59105,104.151,12.59105,388,11001,None,46,46,1999,2007,70
0.033883386,1,104.5605,12.5888,104.5605,12.5888,2026,11010,30,44,44,2001,2013,71
0.033883386,1,105.514,12.5878,105.514,12.5878,5840,11014,40,41,41,2010,2013,72
0.033883386,1,105.28925,12.5738,105.28925,12.5738,4941,11070,None,None,0,None,None,73
0.033883386,1,104.497,12.57205,104.497,12.57205,1772,11077,None,None,30,None,None,74
0.033883386,1,104.242,12.55555,104.242,12.55555,752,11143,None,46,46,1989,1995,75
0.033883386,1,104.65175,12.5443,104.65175,12.5443,2391,11188,34,45,45,2004,2019,76
0.033883386,1,104.75675,12.5313,104.75675,12.5313,2811,11240,None,44,44,None,None,77
0.033883386,1,105.43,12.53105,105.43,12.53105,5504,11241,39,46,46,2009,2014,78
0.033883386,1,104.35475,12.5093,104.35475,12.5093,1203,11328,None,46,46,1989,2007,79
0.033883386,1,105.5195,12.50405,105.5195,12.50405,5862,11349,40,45,45,2010,2014,80
0.033883386,1,104.67325,12.4778,104.67325,12.4778,2477,11454,34,44,44,2004,2007,81
0.033883386,1,104.727,12.47755,104.727,12.47755,2692,11455,35,46,46,2018,None,82
0.033883386,1,105.484,12.47605,105.484,12.47605,5720,11461,40,41,41,2010,2014,83
0.033883386,1,105.491,12.4753,105.491,12.4753,5748,11464,40,41,41,2010,2014,84
0.033883386,1,104.67525,12.4718,104.67525,12.4718,2485,11478,36,47,47,2005,2018,85
0.033883386,1,104.69175,12.4553,104.69175,12.4553,2551,11544,42,47,47,2013,2015,86
0.033883386,1,105.658,12.4468,105.658,12.4468,6416,11578,39,45,45,2007,2013,87
0.033883386,1,104.37375,12.41705,104.37375,12.41705,1279,11697,21,23,23,1988,1989,88
0.033883386,1,105.632,12.4073,105.632,12.4073,6312,11736,35,39,39,2005,2013,89
0.033883386,1,105.599,12.4053,105.599,12.4053,6180,11744,31,41,41,2002,2019,90
0.033883386,1,104.07375,12.4038,104.07375,12.4038,79,11750,None,None,41,None,None,91
0.033883386,1,104.375,12.38505,104.375,12.38505,1284,11825,28,31,27,1999,2000,92
0.033883386,1,105.551,12.36755,105.551,12.36755,5988,11895,35,39,39,2005,2012,93
0.033883386,1,105.51375,12.3583,105.51375,12.3583,5839,11932,35,39,39,2006,2012,94
0.033883386,1,105.5915,12.33455,105.5915,12.33455,6150,12027,33,35,35,2004,2008,95
0.033883386,1,105.66825,12.32805,105.66825,12.32805,6457,12053,None,None,0,None,None,96
0.033883386,1,105.1955,12.3183,105.1955,12.3183,4566,12092,37,40,40,2009,2014,97
0.033883386,1,105.52375,12.3083,105.52375,12.3083,5879,12132,None,39,39,None,2009,98
0.033883386,1,105.204,12.30455,105.204,12.30455,4600,12147,35,39,39,2008,2011,99
0.033883386,1,105.34925,12.23755,105.34925,12.23755,5181,12415,None,None,0,2014,2017,100
0.966116614,9,104.92975,15.2898,104.92975,15.2898,3503,206,None,43,43,2003,2011,101
0.966116614,9,105.222,15.2303,105.222,15.2303,4672,444,None,None,100,None,None,102
0.966116614,9,105.41525,15.2108,105.41525,15.2108,5445,522,None,None,100,None,None,103
0.966116614,9,105.09575,15.18205,105.09575,15.18205,4167,637,None,None,100,None,None,104
0.966116614,9,105.20475,15.1733,105.20475,15.1733,4603,672,None,None,100,None,None,105
0.966116614,9,105.0045,15.1573,105.0045,15.1573,3802,736,None,None,100,None,None,106
0.966116614,9,105.82825,15.1423,105.82825,15.1423,7097,796,None,None,100,None,None,107
0.966116614,9,104.90725,15.13205,104.90725,15.13205,3413,837,None,None,100,None,None,108
0.966116614,9,106.15925,15.1223,106.15925,15.1223,8421,876,None,None,0,None,None,109
0.966116614,9,105.0105,15.09755,105.0105,15.09755,3826,975,None,None,100,None,None,110
0.966116614,9,105.96925,15.0628,105.96925,15.0628,7661,1114,None,None,0,None,None,111
0.966116614,9,105.8285,15.01605,105.8285,15.01605,7098,1301,None,None,0,None,None,112
0.966116614,9,105.28375,14.9693,105.28375,14.9693,4919,1488,None,None,100,None,None,113
0.966116614,9,106.07825,14.96805,106.07825,14.96805,8097,1493,None,None,0,None,None,114
0.966116614,9,106.05325,14.9533,106.05325,14.9533,7997,1552,None,None,0,None,None,115
0.966116614,9,106.03,14.94205,106.03,14.94205,7904,1597,None,None,0,None,None,116
0.966116614,9,104.62625,14.84155,104.62625,14.84155,2289,1999,None,None,100,None,2007,117
0.966116614,9,105.174,14.82055,105.174,14.82055,4480,2083,None,None,100,None,None,118
0.966116614,9,104.60925,14.7813,104.60925,14.7813,2221,2240,None,None,47,None,None,119
0.966116614,9,105.76275,14.7723,105.76275,14.7723,6835,2276,None,None,100,None,None,120
0.966116614,9,104.66775,14.7583,104.66775,14.7583,2455,2332,None,None,100,None,None,121
0.966116614,9,105.6905,14.73605,105.6905,14.73605,6546,2421,None,None,100,None,None,122
0.966116614,9,104.99425,14.70805,104.99425,14.70805,3761,2533,None,None,100,None,None,123
0.966116614,9,104.73625,14.6393,104.73625,14.6393,2729,2808,None,None,100,None,None,124
0.966116614,9,106.128,14.6218,106.128,14.6218,8296,2878,None,None,0,None,None,125
